,,,,,
,,,,,
Average of Price per Sqft (INR)S,Facing,,,,
City,East,North,South,West,Grand Total
Agartala,"₹ 5,219","₹ 6,829","₹ 6,757","₹ 6,942","₹ 6,508"
Ahmedabad,"₹ 4,300",,,,"₹ 4,300"
Aizawl,"₹ 9,826","₹ 5,623","₹ 7,285","₹ 9,592","₹ 8,260"
Amritsar,"₹ 4,300",,,,"₹ 4,300"
Bengaluru,"₹ 19,712","₹ 14,148","₹ 11,966","₹ 17,569","₹ 14,515"
Bhubaneswar,"₹ 8,267","₹ 6,292","₹ 6,428","₹ 8,532","₹ 7,882"
Chandigarh,,"₹ 8,386","₹ 17,518","₹ 16,926","₹ 16,309"
Chennai,"₹ 10,485","₹ 10,404","₹ 10,469","₹ 10,558","₹ 10,479"
Dehradun,"₹ 6,700","₹ 5,385","₹ 6,377","₹ 5,197","₹ 6,289"
Dispur,"₹ 6,906","₹ 6,672","₹ 6,771","₹ 8,100","₹ 7,049"
DNH & DD,,"₹ 8,543","₹ 6,915","₹ 9,480","₹ 7,743"
Gangtok,"₹ 4,953","₹ 8,054","₹ 6,733","₹ 7,565","₹ 7,051"
Gurugram,"₹ 15,514","₹ 20,820","₹ 14,437","₹ 20,387","₹ 16,632"
Hyderabad,"₹ 6,822","₹ 7,194","₹ 7,300","₹ 7,507","₹ 7,217"
Imphal,"₹ 7,025","₹ 5,148","₹ 6,868","₹ 6,591","₹ 6,660"
Indore,"₹ 4,300",,,,"₹ 4,300"
Itanagar,"₹ 7,513","₹ 8,119","₹ 9,338","₹ 6,574","₹ 7,852"
Jaipur,"₹ 4,300",,,,"₹ 4,300"
Kochi,"₹ 4,300",,,,"₹ 4,300"
Kohima,"₹ 5,802","₹ 6,995","₹ 6,965","₹ 6,276","₹ 6,484"
Kolkata,"₹ 4,300",,,,"₹ 4,300"
Ladakh,,"₹ 9,530","₹ 6,855","₹ 7,768","₹ 7,994"
Lakshadweep,"₹ 8,091","₹ 5,590","₹ 6,733","₹ 7,176","₹ 6,749"
Lucknow,"₹ 13,184","₹ 13,999","₹ 19,839","₹ 12,726","₹ 14,622"
Mumbai,"₹ 11,564","₹ 12,744","₹ 11,668","₹ 14,855","₹ 12,500"
New Delhi,"₹ 13,073","₹ 14,477","₹ 19,058","₹ 11,099","₹ 12,768"
Panaji,"₹ 6,308","₹ 6,174","₹ 6,260","₹ 5,521","₹ 6,123"
Patna,"₹ 6,924",,"₹ 7,954","₹ 8,248","₹ 7,640"
Port Blair,"₹ 5,659","₹ 6,073","₹ 9,141","₹ 7,445","₹ 6,626"
Puducherry,"₹ 7,187","₹ 7,015","₹ 8,198","₹ 8,344","₹ 8,019"
Raipur,"₹ 7,224","₹ 8,360","₹ 7,857","₹ 7,404","₹ 7,668"
Ranchi,"₹ 7,432","₹ 6,687","₹ 7,088","₹ 8,142","₹ 7,354"
Shillong,"₹ 7,663","₹ 8,820","₹ 6,724","₹ 7,471","₹ 7,641"
Shimla,"₹ 7,043","₹ 8,316","₹ 7,496","₹ 6,009","₹ 7,173"
Srinagar,"₹ 6,169","₹ 5,909","₹ 6,395","₹ 6,661","₹ 6,212"
Vijayawada,"₹ 5,473","₹ 4,791","₹ 5,730","₹ 5,089","₹ 5,382"
Grand Total,"₹ 6,646","₹ 8,372","₹ 8,521","₹ 8,713","₹ 7,964"
